// General information: 
//  MT Manager version: 2021.2.0 
//  XDA version: 2021.2.0 build 6101 rev 111201 built on 2021-07-13
// Device information: 
//  DeviceId: 0080001028
//  ProductCode: MTi-670-8A1G6
//  Firmware Version: 1.0.0
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General(21.2)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
39533	7673711	527653000	2023	11	20	4	2	15	0	-6.835166	-1.423860	-6.883721	-0.026808	0.013697	-0.008012	-0.002444	-0.000225	0.003099				-0.273816	0.770817	-0.507504	-0.270750	-168.172322	44.053003	-61.922249
39534	7673736	530153000	2023	11	20	4	2	15	0	-6.829718	-1.446319	-6.871857	-0.005655	0.026039	-0.016839	-0.001083	-0.000831	0.003099	0.427478	-0.069713	-0.332120	-0.273812	0.770817	-0.507505	-0.270753	-168.173022	44.053056	-61.922616
39535	7673761	532653000	2023	11	20	4	2	15	0	-6.822811	-1.438378	-6.885000	-0.008894	0.009871	-0.013566	0.001211	-0.000004	0.002716				-0.273811	0.770817	-0.507506	-0.270753	-168.173360	44.052978	-61.922936
39536	7673786	535153000	2023	11	20	4	2	15	0	-6.821206	-1.412212	-6.893826	-0.031430	-0.006291	-0.012329	0.001367	-0.003873	0.002167				-0.273816	0.770813	-0.507507	-0.270757	-168.173001	44.053725	-61.923090
39537	7673811	537653000	2023	11	20	4	2	15	0	-6.845145	-1.422272	-6.880297	-0.032199	0.021898	-0.003720	0.003975	0.002966	0.002005				-0.273815	0.770813	-0.507510	-0.270752	-168.172936	44.053210	-61.923394
39538	7673836	540153000	2023	11	20	4	2	15	0	-6.846729	-1.419694	-6.883048	-0.034542	0.020072	-0.001063	-0.002876	-0.002050	0.000905	0.431369	-0.069625	-0.333592	-0.273812	0.770814	-0.507507	-0.270756	-168.173563	44.053360	-61.923293
39539	7673861	542653000	2023	11	20	4	2	15	0	-6.820600	-1.425295	-6.884849	-0.020287	0.004216	-0.017141	0.001683	0.001072	0.002813				-0.273809	0.770814	-0.507509	-0.270755	-168.173880	44.053133	-61.923682
39540	7673886	545153000	2023	11	20	4	2	15	0	-6.815925	-1.438454	-6.880660	-0.007000	0.008696	-0.021397	-0.001045	0.002242	0.001573				-0.273804	0.770817	-0.507507	-0.270756	-168.174388	44.052870	-61.923454
39541	7673911	547653000	2023	11	20	4	2	15	0	-6.829842	-1.432746	-6.879309	-0.017191	0.016738	-0.013512	-0.003146	0.003692	0.000042				-0.273797	0.770821	-0.507506	-0.270754	-168.175102	44.052199	-61.923412
39542	7673936	550153000	2023	11	20	4	2	15	0	-6.811807	-1.433641	-6.884567	-0.009685	0.001941	-0.022220	0.003061	0.002932	-0.000094	0.427942	-0.069182	-0.334057	-0.273796	0.770823	-0.507506	-0.270750	-168.174881	44.051632	-61.923307
39543	7673961	552653000	2023	11	20	4	2	15	0	-6.829744	-1.420412	-6.884004	-0.028060	0.009478	-0.012091	-0.000900	0.004046	0.001305				-0.273790	0.770826	-0.507507	-0.270747	-168.175450	44.050945	-61.923522
39544	7673986	555153000	2023	11	20	4	2	15	0	-6.820027	-1.428912	-6.881299	-0.017587	0.008172	-0.019501	0.003777	0.004464	-0.000250				-0.273792	0.770828	-0.507511	-0.270731	-168.174305	44.049438	-61.923500
39545	7674011	557653000	2023	11	20	4	2	15	0	-6.802887	-1.423322	-6.874287	-0.018089	0.000404	-0.037176	0.004556	0.004447	-0.000256				-0.273792	0.770830	-0.507512	-0.270724	-168.173891	44.048648	-61.923431
39546	7674036	560153000	2023	11	20	4	2	15	0	-6.803559	-1.440284	-6.874305	-0.002343	0.006432	-0.034196	-0.002594	-0.001593	-0.001046	0.429946	-0.072102	-0.333638	-0.273788	0.770832	-0.507508	-0.270727	-168.174227	44.048683	-61.922969
39547	7674061	562653000	2023	11	20	4	2	15	0	-6.802392	-1.436647	-6.873270	-0.005761	0.005185	-0.036272	0.005142	0.000837	-0.002320				-0.273791	0.770834	-0.507506	-0.270722	-168.173346	44.048340	-61.922344
39548	7674086	565153000	2023	11	20	4	2	15	0	-6.807116	-1.432797	-6.876396	-0.010041	0.004820	-0.031355	-0.002663	0.000788	0.004489				-0.273783	0.770835	-0.507504	-0.270732	-168.175070	44.048848	-61.922742
